TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
14.492,742.8550033492595,-562.8581155250018,142.0,709.1644444444446,9.0,False,1
14.53,742.0,-548.0,141.62000128,710.6442123955034,10.51999488,False,1
14.692,744.7186197339635,-483.95455029570877,140.0,716.9422222222223,17.0,False,1
14.79,749.0,-444.0,141.39999817142856,720.799735505437,29.599983542857142,False,1
14.85,752.0,-419.0,142.25714102857143,723.1834538737143,37.31426925714286,False,1
14.972,759.4115272457026,-368.6501761867291,144.0,728.1422222222222,53.0,False,1
15.11,767.0,-312.0,148.7437456,733.9516864845127,65.5062384,False,1
15.29,770.0,-236.0,154.9312456,741.8306791553183,81.8187384,False,1
15.292,769.9811393920587,-235.1082283644916,155.0,741.9200000000001,82.0,False,1
15.453,764.8276298578506,-160.04296573194088,163.0,749.2097222222222,68.0,False,1
15.49,763.0,-143.0,163.26428525714286,750.8957662052171,68.0,False,1
15.733,746.0864471688526,-37.6677822891211,165.0,762.0430555555556,68.0,False,1
15.83,734.0,5.0,166.93999872,766.56089192692,63.63500288,False,1
15.85,731.0,14.0,167.33999872,767.4985141009435,62.73500288,False,1
15.933,716.6018666960015,51.51651848100587,169.0,771.4319444444444,59.0,False,1
16.07,687.0,112.0,172.9142838857143,778.0739331934958,70.74285165714285,False,1
16.213,650.3346644866996,169.93440708072274,177.0,785.1986111111112,83.0,False,1
16.27,634.0,193.0,179.27999744,788.09111071548,87.84499456,False,1
16.413,588.5649596186814,252.95771144798414,185.0,795.4763888888889,100.0,False,1
16.61,520.0,338.0,190.74583146666666,805.9425103953572,100.0,False,1
16.653,504.99482919240967,356.45422384075,192.0,808.2763888888888,100.0,False,1
16.77,463.0,408.0,197.8499968,814.7294183681671,100.0,False,1
16.813,446.4199845050876,428.41162023036844,200.0,817.1652777777778,100.0,False,1
16.97,391.0,497.0,207.06499712,826.4227329702618,100.0,False,1
17.19,355.0,542.0,216.96499712,839.9722618674996,100.0,False,1
17.213,346.3251998670844,552.4646395728637,218.0,841.3875000000002,100.0,False,1
17.49,180.0,751.0,222.94642742857144,858.5412266683443,100.0,False,1
17.493,178.63045083044813,752.6249833490302,223.0,858.7319444444445,100.0,False,1
17.853,86.47278421210332,851.9519960429132,236.0,882.3319444444447,100.0,False,1
17.87,79.0,859.0,236.0,883.4467224562794,100.0,False,1
18.013,-6.102991275065703,938.5177227521159,236.0,892.8208333333337,100.0,False,1
18.11,-66.0,993.0,238.90999808,899.2933015077746,100.0,False,1
18.213,-117.88986654031932,1037.9818413667858,242.0,906.265277777778,100.0,False,1
18.49,-235.0,1130.0,247.93571291428572,925.3463819738282,100.0,False,1
18.493,-236.5762739649735,1131.2447797419932,248.0,925.5541666666668,100.0,False,1
18.65,-327.0,1203.0,248.87222186666668,936.4415052905325,100.0,False,1
18.853,-438.89409541640566,1291.5608510576837,250.0,950.554166666667,100.0,False,1
18.91,-468.0,1316.0,250.3562496,954.5230288195085,100.0,False,1
19.013,-517.904570264807,1360.4815478010482,251.0,961.7097222222226,100.0,False,1
19.07,-545.0,1386.0,251.4071424,965.7016603044635,100.0,False,1
19.29,-651.0,1503.0,252.97857097142858,981.1764135589189,100.0,False,1
19.293,-652.478742520562,1505.0817404277648,253.0,981.3875000000002,100.0,False,1
19.55,-770.0,1709.0,253.0,999.4520982565163,100.0,False,1
19.573,-776.9926354919455,1722.631628208155,253.0,1001.065277777778,100.0,False,1
19.849,-830.0,1855.0,252.31,1020.3755544439714,100.0,False,1
19.973,-872.3015537110977,1981.7761848552748,252.0,1029.065277777778,100.0,False,1
20.069,-902.0,2080.0,252.6,1035.8102047704112,100.0,False,1
20.133,-914.5337969600963,2130.827242788048,253.0,1040.3097222222225,100.0,False,1
20.269,-928.0,2218.0,253.0,1049.8681992896854,100.0,False,1
20.373,-935.281764442726,2292.306250831332,253.0,1057.1763888888893,100.0,False,1
20.573,-943.3791621515128,2447.4657977702336,253.0,1071.2319444444447,100.0,False,1
20.609,-944.0,2474.0,253.0,1073.7628658183194,100.0,False,1
20.733,-944.2820323986085,2561.634094336389,253.0,1082.4763888888892,100.0,False,1
20.769,-944.0,2587.0,252.77453030152412,1085.001369062844,100.0,False,1
20.909,-942.0,2686.0,251.89770369634022,1094.79784164219,100.0,False,1
21.07,-939.0,2798.0,250.88935350121372,1105.9963435859217,100.0,False,1
21.212,-933.4011246353144,2938.225433104999,250.0,1115.7402777777781,100.0,False,1
21.35,-927.0,3074.0,244.25000533333332,1125.082730574274,61.66670222222223,False,1
21.572,-918.9617986745094,3200.846093001487,235.0,1139.2402777777781,0.0,True,1
21.772,-914.0365342294626,3267.661584836321,200.0,1150.3513888888892,0.0,True,1
21.83,-913.0,3292.0,196.82587664107515,1153.472924435599,0.0,True,1
21.973,-911.5765757395737,3362.7985948389596,189.0,1160.9038888888892,0.0,True,1
22.01,-912.0,3385.0,185.3000064,1162.6972454807933,0.0,True,1
22.23,-921.0,3531.0,163.3000064,1172.4414092819436,0.0,True,1
22.253,-921.8977180728206,3541.1174254977013,161.0,1173.4261111111116,0.0,True,1
22.413,-927.0287126926636,3576.6026093422893,152.0,1180.181666666667,0.0,True,1
22.49,-931.0,3595.0,149.593752,1183.3354543025625,0.0,True,1
22.573,-937.1751718925569,3624.2095900218173,147.0,1186.7150000000004,0.0,True,1
22.69,-948.0,3672.0,147.0,1191.5544365793417,0.0,True,1
22.813,-960.0325671547727,3714.1355263871046,147.0,1196.5150000000003,0.0,True,1
22.97,-982.0,3766.0,137.8416704,1202.3099103124514,0.0,True,1
23.173,-1030.589388305676,3848.0181782190853,126.0,1209.1150000000002,0.0,True,1
23.25,-1047.0,3872.0,121.50833706666667,1211.5680500030476,0.0,True,1
23.413,-1070.0335051150057,3898.1762789974127,112.0,1216.581666666667,0.0,True,1
23.53,-1087.0,3911.0,108.343752,1220.0908204539282,0.0,True,1
23.573,-1094.9838811850236,3916.82851856157,107.0,1221.3372222222224,0.0,True,1
23.79,-1146.0,3950.0,99.25000228571429,1227.2117354348168,0.0,True,1
23.853,-1161.9934601243012,3957.5653690580593,97.0,1228.881666666667,0.0,True,1
24.013,-1203.5131113969321,3971.5018890287756,96.0,1233.1483333333335,4.0,False,1
24.07,-1218.0,3975.0,96.0,1234.6649061116461,8.749994666666668,False,1
24.253,-1263.6145201813638,3981.655228702188,96.0,1239.5483333333334,24.0,False,1
24.27,-1268.0,3982.0,96.2124992,1240.0083210221053,24.8499968,False,1
24.413,-1306.806927107412,3983.3093193640802,98.0,1243.903888888889,32.0,False,1
24.47,-1324.0,3983.0,98.1781248,1245.4457452719994,35.3843712,False,1
24.65,-1378.0,3980.0,98.7406248,1250.3142797005794,46.0718712,False,1
24.733,-1388.101058818814,3979.6049537100475,99.0,1252.703888888889,51.0,False,1
24.81,-1398.0,3979.0,103.12499657142857,1255.031181869836,55.67499611428571,False,1
24.99,-1455.0,3974.0,112.76785371428572,1260.8124335914235,66.60356754285715,False,1
25.013,-1463.297076920673,3973.4035061900286,114.0,1261.5705555555558,68.0,False,1
25.213,-1535.9303244858907,3970.1101712083846,124.0,1268.4594444444447,78.0,False,1
25.23,-1542.0,3970.0,125.4874944,1269.0971510192824,77.5750016,False,1
25.41,-1606.0,3971.0,141.2374944,1276.3548921362071,73.0750016,False,1
25.453,-1622.0831691798976,3972.1515582576444,145.0,1278.1261111111112,72.0,False,1
25.653,-1702.822448649177,3985.093132357777,148.0,1286.3483333333334,67.0,False,1
25.69,-1719.0,3990.0,148.4624992,1287.8810173882619,67.0,False,1
25.893,-1813.2080488440524,4031.766293633176,151.0,1296.4150000000002,67.0,False,1
25.99,-1851.0,4053.0,154.2333312,1300.605109771632,69.020832,False,1
26.133,-1890.604737523343,4080.275231202339,159.0,1307.015,72.0,False,1
26.23,-1916.0,4102.0,163.4458304,1311.6046351323473,74.8291648,False,1
26.549,-2023.0,4213.0,178.06666666666666,1327.8175771920191,84.13333333333334,False,1
26.613,-2044.0775356513766,4240.244832245111,181.0,1331.1483333333335,86.0,False,1
26.729,-2080.0,4292.0,184.54444444444445,1337.2211468487849,90.5111111111111,False,1
26.909,-2128.0,4374.0,190.04444444444445,1346.8200400955327,97.5111111111111,False,1
26.973,-2143.0662382409178,4403.877162894576,192.0,1350.3483333333336,100.0,False,1
27.129,-2176.0,4478.0,198.38181818181818,1359.2220852538662,100.0,False,1
27.413,-2227.90302850467,4635.088615965178,210.0,1376.0150000000003,100.0,False,1
27.429,-2231.0,4648.0,210.34408594257528,1376.965556357628,100.0,False,1
27.65,-2273.0,4854.0,215.0967716480524,1390.1850954703084,100.0,False,1
27.692,-2278.3076492646633,4882.7110868328555,216.0,1392.7550000000003,100.0,False,1
28.012,-2293.9524347420793,4993.985914395363,228.0,1413.021666666667,100.0,False,1
28.03,-2295.0,5002.0,228.6749952,1414.1837346668751,100.0,False,1
28.172,-2306.0492695610815,5084.564659331381,234.0,1423.421666666667,100.0,False,1
28.21,-2310.0,5116.0,234.9499968,1425.9215232909257,100.0,False,1
28.412,-2336.097135611237,5339.5343460183485,240.0,1439.421666666667,100.0,False,1
28.45,-2340.0,5374.0,241.3233790482401,1442.0019295950024,100.0,False,1
28.613,-2349.409519706256,5460.172470251386,247.0,1453.2125000000005,100.0,False,1
28.773,-2353.2140193859964,5502.520060420401,252.0,1464.4125000000006,100.0,False,1
28.83,-2356.0,5532.0,252.85499904,1468.4278806212517,100.0,False,1
28.95,-2364.0,5616.0,254.65499904,1476.9341745052525,100.0,False,1
28.973,-2365.593669153354,5633.133707952959,255.0,1478.579166666667,100.0,False,1
29.133,-2376.4038556243713,5754.105167664098,260.0,1490.1347222222228,100.0,False,1
29.25,-2384.0,5839.0,260.97499946666665,1498.618538054543,100.0,False,1
29.373,-2391.7356563384315,5922.752986552268,262.0,1507.6013888888897,100.0,False,1
29.45,-2397.0,5986.0,264.406248,1513.2865134742494,100.0,False,1
29.533,-2403.374487053307,6071.836363080404,267.0,1519.4680555555565,100.0,False,1
29.65,-2412.0,6196.0,269.9249984,1528.2758524157869,100.0,False,1
29.733,-2416.381327501815,6260.327943278311,272.0,1534.5791666666676,100.0,False,1
29.97,-2424.0,6380.0,276.93749866666667,1552.8121033141745,100.0,False,1
29.973,-2424.100176797373,6381.647121568662,277.0,1553.045833333334,100.0,False,1
30.25,-2435.0,6590.0,283.9249984,1574.8969165190924,100.0,False,1
30.253,-2435.141092804124,6593.453809993141,284.0,1575.134722222223,100.0,False,1
30.453,-2444.816374788635,6862.437105205862,286.0,1591.023611111112,100.0,False,1
30.49,-2446.0,6898.0,286.36999936,1593.9817684206043,100.0,False,1
30.75,-2448.0,6994.0,288.96999936,1614.938817069906,100.0,False,1
30.853,-2448.5870199899064,7060.221141569896,290.0,1623.2458333333343,100.0,False,1
31.01,-2449.0,7195.0,290.0,1635.8838405630038,100.0,False,1
31.053,-2448.6724714130924,7230.370059347607,290.0,1639.3569444444454,100.0,False,1
31.17,-2447.0,7325.0,291.4624992,1648.8519033377784,100.0,False,1
